solution_id,designation,source_id,ra,dec,clon,clat,ra_pmra_corr,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
1635721458409799680,Gaia DR2 2672836595879354752,2672836595879354752,323.07298562334046,-2.9761035277519223,21h32m17.52s,-02d58m33.97s,,78,3814.370816579052,7.7462305503283115,492.4163818359,16.7348079681,9,1954.0648402651889,36.30005906871147,53.8308982849,17.1240406036,8,2773.327129271283,43.70265989188198,63.4589996338,16.154417038,1.2393635511,0,0.9696235657,0.3892326355,0.5803909302,,,
1635721458409799680,Gaia DR2 2672831682436283520,2672831682436283520,323.2330444922198,-2.960365795533452,21h32m55.93s,-02d57m37.32s,,49,84.845826849377,1.6289115287518146,52.087436676,20.8667888641,3,59.10747896411982,10.177245502759325,5.8078069687,20.9222812653,5,93.27345425559295,13.776271687559428,6.7705874443,19.8375244141,1.7959743738,0,1.0847568512,0.0554924011,1.0292644501,,,
1635721458409799680,Gaia DR2 2672824363812492544,2672824363812492544,323.08781944395093,-3.029460749715738,21h32m21.08s,-03d01m46.06s,-0.2958901227,105,8386.787754854084,6.42879168325827,1304.5667724609,15.8793764114,10,4190.301813492463,43.959453265035116,95.321975708,16.2957744598,10,6095.23007562355,13.059966257790977,466.7109985352,15.2994451523,1.2263970375,0,0.9963293076,0.4163980484,0.5799312592,0.0063,0.0029,0.0654999986
1635721458409799680,Gaia DR2 2672831751156167680,2672831751156167680,323.2293593419994,-2.948759114077607,21h32m55.05s,-02d56m55.53s,-0.3067835867,102,8749.092840735591,6.3523390349014335,1377.3026123047,15.8334579468,11,4582.361382192215,44.75231694730352,102.3938369751,16.1986656189,11,6095.208382599211,16.468045608077368,370.1233520508,15.299448967,1.2204202414,0,0.8992166519,0.3652076721,0.5340089798,0.0283000004,0.0040000002,0.0781000033
1635721458409799680,Gaia DR2 2672823534883632256,2672823534883632256,323.10440625335406,-3.046673676841069,21h32m25.06s,-03d02m48.03s,-0.4564158916,98,219.990682787375,1.7781790911839994,123.716835022,19.8323554993,6,60.51834166374504,5.788516034543368,10.4548978806,20.8966712952,7,233.44447226066265,7.063925350214237,33.047416687,18.8414611816,1.3362512589,0,2.0552101135,1.0643157959,0.9908943176,,,
1635721458409799680,Gaia DR2 2672843188654639104,2672843188654639104,323.15983233007245,-2.8989416067001486,21h32m38.36s,-02d53m56.19s,-0.2419728935,116,268.4488221912239,1.4168107043342502,189.4740142822,19.6162128448,9,50.74194213248794,11.426148651830127,4.4408612251,21.0879707336,9,381.1507585410163,17.240639831971162,22.1076927185,18.3091773987,1.6088455915,0,2.778793335,1.4717578888,1.3070354462,,,
1635721458409799680,Gaia DR2 2672826799058815872,2672826799058815872,323.2266719839732,-3.021477140869702,21h32m54.40s,-03d01m17.32s,-0.1939608008,75,246.7911499340408,1.9904586818779921,123.9870758057,19.7075424194,6,120.63049079445665,12.364175671876655,9.7564525604,20.1477451324,7,156.57473025041952,11.038025628580286,14.1850309372,19.2751159668,1.1232380867,0,0.8726291656,0.440202713,0.4324264526,,,
1635721458409799680,Gaia DR2 2672831678141757312,2672831678141757312,323.2330927784074,-2.9560844434543103,21h32m55.94s,-02d57m21.90s,-0.4068841934,102,525.7964892899697,2.1431422447080664,245.339050293,18.8863220215,10,282.23226129220643,7.822112093767743,36.0813369751,19.2248706818,10,353.45753902087796,6.405955343268984,55.176399231,18.3910770416,1.2090035677,0,0.8337936401,0.3385486603,0.4952449799,,,
1635721458409799680,Gaia DR2 2672842814992003584,2672842814992003584,323.0813444912827,-2.941531029291294,21h32m19.52s,-02d56m29.51s,-0.3453654349,92,1261.03157220381,2.7935887481511883,451.4020080566,17.9365501404,10,595.2794768505275,24.862114587578972,23.9432353973,18.4145851135,9,959.2280428141571,12.110739694455933,79.2047424316,17.3071155548,1.2327269316,0,1.1074695587,0.4780349731,0.6294345856,,,
1635721458409799680,Gaia DR2 2672831746861254912,2672831746861254912,323.22751228667005,-2.941174774393817,21h32m54.60s,-02d56m28.23s,-0.4515588284,99,322.0215972167625,1.8630722449871004,172.8443908691,19.4186534882,10,165.5753143850601,17.82028437332453,9.2913961411,19.803899765,10,206.2634230676608,9.934544738317761,20.7622413635,18.9758644104,1.1547012329,0,0.8280353546,0.3852462769,0.4427890778,,,
